wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T15:31:25.338812,2025-04-10 10:49:13,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:26.340106,2025-04-10 10:49:14,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:27.344465,2025-04-10 10:49:15,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:28.342787,2025-04-10 10:49:15,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:29.344002,2025-04-10 10:49:16,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:30.345023,2025-04-10 10:49:17,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:31.347661,2025-04-10 10:49:18,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:32.349948,2025-04-10 10:49:20,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:33.355367,2025-04-10 10:49:21,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:34.355522,2025-04-10 10:49:22,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:35.356950,2025-04-10 10:49:23,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:36.359841,2025-04-10 10:49:24,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:37.360904,2025-04-10 10:49:25,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:38.364596,2025-04-10 10:49:26,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:39.364399,2025-04-10 10:49:26,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:40.367858,2025-04-10 10:49:28,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:41.374016,2025-04-10 10:49:28,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:42.367966,2025-04-10 10:49:29,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:43.376772,2025-04-10 10:49:31,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:44.377611,2025-04-10 10:49:31,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:45.378509,2025-04-10 10:49:33,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:46.379963,2025-04-10 10:49:34,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:47.381647,2025-04-10 10:49:35,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:48.387445,2025-04-10 10:49:36,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:49.388076,2025-04-10 10:49:37,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:50.387533,2025-04-10 10:49:37,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:51.388937,2025-04-10 10:49:39,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:52.395813,2025-04-10 10:49:40,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:53.394932,2025-04-10 10:49:41,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:54.397861,2025-04-10 10:49:42,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:55.402276,2025-04-10 10:49:43,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:56.409303,2025-04-10 10:49:44,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:31:57.407337,2025-04-10 10:49:44,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:58.409591,2025-04-10 10:49:46,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:31:59.411468,2025-04-10 10:49:47,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:00.410507,2025-04-10 10:49:48,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:01.413225,2025-04-10 10:49:49,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:02.419953,2025-04-10 10:49:50,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:03.421718,2025-04-10 10:49:51,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:04.422207,2025-04-10 10:49:52,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:05.422971,2025-04-10 10:49:53,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:06.425267,2025-04-10 10:49:54,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:07.425958,2025-04-10 10:49:55,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:08.426740,2025-04-10 10:49:55,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:09.433043,2025-04-10 10:49:57,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:10.437109,2025-04-10 10:49:58,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:11.442376,2025-04-10 10:49:59,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:12.445782,2025-04-10 10:50:00,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:13.452326,2025-04-10 10:50:01,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:14.457831,2025-04-10 10:50:02,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:15.463026,2025-04-10 10:50:03,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:16.465611,2025-04-10 10:50:04,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:17.471888,2025-04-10 10:50:04,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:18.473514,2025-04-10 10:50:05,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:19.477747,2025-04-10 10:50:07,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:20.481433,2025-04-10 10:50:08,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:21.486484,2025-04-10 10:50:09,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:22.490721,2025-04-10 10:50:10,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:23.494095,2025-04-10 10:50:11,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:24.496765,2025-04-10 10:50:12,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:25.502165,2025-04-10 10:50:13,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:26.507043,2025-04-10 10:50:14,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:27.507267,2025-04-10 10:50:15,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:28.513045,2025-04-10 10:50:16,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:29.514131,2025-04-10 10:50:17,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:30.517544,2025-04-10 10:50:17,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:31.523941,2025-04-10 10:50:19,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:32.525768,2025-04-10 10:50:20,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:33.526466,2025-04-10 10:50:21,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:34.531241,2025-04-10 10:50:22,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:35.533763,2025-04-10 10:50:23,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:36.537047,2025-04-10 10:50:24,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:37.545369,2025-04-10 10:50:25,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:38.545391,2025-04-10 10:50:26,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:39.549169,2025-04-10 10:50:27,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:40.562505,2025-04-10 10:50:28,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:41.568894,2025-04-10 10:50:29,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:42.562503,2025-04-10 10:50:30,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:43.569699,2025-04-10 10:50:31,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:44.570961,2025-04-10 10:50:32,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:45.577356,2025-04-10 10:50:33,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:46.583683,2025-04-10 10:50:34,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:47.583203,2025-04-10 10:50:35,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:48.584924,2025-04-10 10:50:36,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:49.602036,2025-04-10 10:50:37,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:50.599263,2025-04-10 10:50:38,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:51.603968,2025-04-10 10:50:39,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:52.609131,2025-04-10 10:50:40,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:53.615981,2025-04-10 10:50:41,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:54.619019,2025-04-10 10:50:42,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:55.622480,2025-04-10 10:50:43,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:56.627101,2025-04-10 10:50:44,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
2026-04-02T15:32:57.635291,2025-04-10 10:50:45,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:58.642228,2025-04-10 10:50:46,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:32:59.640980,2025-04-10 10:50:47,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:33:00.645309,2025-04-10 10:50:48,NVDA,108.3300,1,0,108.5342,108.3250,,,,
2026-04-02T15:33:01.656803,2025-04-10 10:50:49,NVDA,108.3300,1,0,108.5342,108.3250,108.3250,-0.000000,-0.000000,-0.000000
