timestamp,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10
1774133975.8476849,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.9600,5,454.1600,5,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133976.8571954,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.9600,5,454.1600,5,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133977.8685782,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.9600,5,454.1600,5,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133978.8827584,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.9600,5,454.1600,5,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133979.8849895,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133980.8882432,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133981.891009,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1774133982.8986657,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.8300,1,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0
1774133983.9108653,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.8300,3,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0
1774133984.924378,453.0000,6,452.9900,3,452.8400,3,452.8100,3,452.4400,1,452.3500,1,452.2300,4,452.0000,4,451.3700,3,451.3600,4,453.8300,3,454.0800,3,454.1600,3,454.1900,4,454.4600,5,454.6400,8,454.7700,5,455.0000,4,0.0000,0,0.0000,0
